Station,City,Timestamp,Temperature
KMYV,Marysville,2024-10-16 23:11:15,8
KSMX,Santa Maria,2024-10-16 23:11:15,1
KWVI,Watsonville,2024-10-16 23:11:15,20
KLVK,Livermore,2024-10-16 23:11:15,26
KFOT,Fortuna,2024-10-16 23:11:15,9
KMMH,Mammoth Lakes,2024-10-16 23:12:57,28
KHWD,Hayward,2024-10-16 23:12:57,33
KRNO,Reno,2024-10-16 23:12:57,29
KOAK,Oakland,2024-10-16 23:12:57,4
KMMH,Mammoth Lakes,2024-10-16 23:12:59,5
KHWD,Hayward,2024-10-16 23:12:59,4
KRNO,Reno,2024-10-16 23:12:59,20
KOAK,Oakland,2024-10-16 23:12:59,24
